Sample;Lon;Lat
CZ04_15;17.070593;48.852692
CZ04_16;17.070593;48.852692
CZ04_19;17.070593;48.852692
CZ04_21;17.070593;48.852692
CZ04_32;17.070593;48.852692
CZ04_37;16.2846704;49.8435451
CZ04_38;16.2846704;49.8435451
CZ04_40;16.2846704;49.8435451
CZ04_44;16.2846704;49.8435451
CZ04_45;16.2846704;49.8435451
DE03_DG102004;6.100;51.233333
DE03_DG102010;6.100;51.233333
DE03_DG102014;6.100;51.233333
DE03_DG102015;6.100;51.233333
DE03_DG102017;6.100;51.233333
DE03_DG102019;6.100;51.233333
DE03_DG102021;6.100;51.233333
DE03_DG102022;6.100;51.233333
DE03_DG102023;6.100;51.233333
DE03_DG102025;6.100;51.233333
DE03_MH103001;10.847465;49.663874
DE03_MH103002;10.847465;49.663874
DE03_MH103012;10.847465;49.663874
DE03_MH103016;10.847465;49.663874
DE03_MH103017;10.847465;49.663874
DE03_MH103032;10.847465;49.663874
DE03_MH103033;10.847465;49.663874
DE03_MH103034;10.847465;49.663874
DE03_MH103035;10.847465;49.663874
DK04_110002;12.120345;55.971545
DK04_110003;12.120345;55.971545
DK04_110004;12.120345;55.971545
DK04_110014;12.120345;55.971545
DK04_110017;12.120345;55.971545
DK04_110019;12.120345;55.971545
DK04_110022;12.120345;55.971545
DK04_110025;12.120345;55.971545
DK04_110026;12.120345;55.971545
DK04_110033;12.120345;55.971545
EE19_CB86701;24.533106;58.384923
EE19_CB86702;24.533106;58.384923
EE19_CB86703;24.533106;58.384923
EE19_CB86704;24.533106;58.384923
EE19_CB86705;24.533106;58.384923
EE19_CB86706;24.533106;58.384923
EE19_CB86707;24.533106;58.384923
EE19_CB86708;24.533106;58.384923
EE19_CB86711;24.533106;58.384923
EE19_CB86712;24.533106;58.384923
ES04_108001;0.79174;40.734138
ES04_108002;0.79174;40.734138
ES04_108009;0.79174;40.734138
ES04_108010;0.79174;40.734138
ES04_108011;0.79174;40.734138
ES04_108013;0.79174;40.734138
ES04_108015;0.79174;40.734138
ES04_108016;0.79174;40.734138
ES04_108018;0.79174;40.734138
ES04_108019;0.79174;40.734138
FI18_HA70203;25.67166;60.33929
FI18_HA70204;25.67166;60.33929
FI18_HA70208;25.67166;60.33929
FI18_HA70215;25.67166;60.33929
FI18_HA70216;25.67166;60.33929
FI18_HA70220;25.67166;60.33929
FI18_HA70221;25.67166;60.33929
FI18_HA70222;25.67166;60.33929
FI18_HA70223;25.67166;60.33929
FI18_HA70228;25.67166;60.33929
FI18_HA70205;21.50412;60.55693
FI18_HA70206;21.50412;60.55693
FI18_HA70214;21.50412;60.55693
FI18_HA70217;21.50412;60.55693
FI18_HA70219;21.50412;60.55693
FR04_109006;-4.352747;47.897121
FR04_109007;-4.352747;47.897121
FR04_109010;-4.352747;47.897121
FR04_109011;-4.352747;47.897121
FR04_109014;-4.352747;47.897121
FR04_109015;-4.352747;47.897121
FR04_109016;-4.352747;47.897121
FR04_109017;-4.352747;47.897121
FR04_109018;-4.352747;47.897121
HR05_13;17.44803;43.05231
HR05_15;17.44803;43.05231
HR05_21;17.44803;43.05231
HR05_22;17.44803;43.05231
HR05_25;17.44803;43.05231
HR05_29;17.44803;43.05231
HR05_39;17.44803;43.05231
HR05_46;17.44803;43.05231
HR05_47;17.44803;43.05231
IT17_10;15.87284;41.55914
IT17_11;15.87284;41.55914
IT17_13;15.87284;41.55914
IT17_14;15.87284;41.55914
IT17_18;15.87284;41.55914
IT17_21;15.87284;41.55914
IT17_2;15.87284;41.55914
IT17_3;15.87284;41.55914
IT17_6;15.87284;41.55914
IT17_8;15.87284;41.55914
LT03_107020;21.240511;55.34641
LT03_107021;21.240511;55.34641
LT03_107022;21.240511;55.34641
LT03_107025;21.240511;55.34641
LT03_107028;21.240511;55.34641
LT03_107029;21.240511;55.34641
LT03_107032;21.240511;55.34641
LT03_107037;21.240511;55.34641
LT03_107038;21.240511;55.34641
LT03_107040;21.240511;55.34641
NO02_101001;11.45907;59.73894
NO02_101003;11.45907;59.73894
NO02_101004;11.45907;59.73894
NO02_101006;11.45907;59.73894
NO02_101008;11.45907;59.73894
NO02_101009;11.45907;59.73894
NO02_101012;11.45907;59.73894
NO02_101013;11.45907;59.73894
NO02_101014;11.45907;59.73894
NO02_101015;11.45907;59.73894
PL03_105021;17.314939;51.534002
PL03_105024;17.314939;51.534002
PL03_105025;17.314939;51.534002
PL03_105033;17.314939;51.534002
PL03_105036;17.314939;51.534002
PL06_117001;17.314939;51.534002
PL06_117029;17.314939;51.534002
PL06_117031;17.314939;51.534002
PL06_117083;17.314939;51.534002
PL06_117087;17.314939;51.534002
RO04_DD111001;28.872278;44.632193
RO04_DD111003;28.872278;44.632193
RO04_DD111004;28.872278;44.632193
RO04_DD111005;28.872278;44.632193
RO04_DD111006;28.872278;44.632193
RO04_DD111012;28.872278;44.632193
RO04_DD111014;28.872278;44.632193
RO04_DD111032;28.872278;44.632193
RO03_TR104002;23.899431;46.966139
RO03_TR104003;23.899431;46.966139
RO03_TR104007;23.899431;46.966139
RO03_TR104013;23.899431;46.966139
RO03_TR104016;23.899431;46.966139
RO03_TR104017;23.899431;46.966139
RO03_TR104036;23.899431;46.966139
RO03_TR104042;23.899431;46.966139
SE16_14322902;13.47565;55.70043
SE16_B4G4898;13.47565;55.70043
SE16_CP59528;13.47565;55.70043
SE16_CT90650;13.47565;55.70043
SE16_CX14220;13.47565;55.70043
SE16_CX14281;13.47565;55.70043
SK05_11;17.58332;48.37091
SK05_12;17.58332;48.37091
SK05_13;17.58332;48.37091
SK05_16;17.58332;48.37091
SK05_2;17.58332;48.37091
SK05_6;17.58332;48.37091
SK05_7;17.58332;48.37091
SK05_8;17.58332;48.37091
SK05_9;17.58332;48.37091
TR05_13;32.79434;39.76333
TR05_14;32.79434;39.76333
TR05_17;32.79434;39.76333
TR05_26;32.79434;39.76333
TR05_27;32.79434;39.76333
TR05_34;32.79434;39.76333
TR05_36;32.79434;39.76333
TR05_41;32.79434;39.76333
